UserID,UserName,link,dataDate,Category,SubCategory,Title,Location_City,Location_State,Goal,PlgAmt,Unit,isSuccessful,backers,BeginDate,EndDate,SpanDays
rawdancesf,"
RAWdance
",https://www.kickstarter.com/projects/rawdancesf/double-exposure,2016-04-14 21:46:42,Dance,performances,Double Exposure,San Francisco,CA,12000,13590,usd,1,144,2015-05-27T11:05:23-04:00,2015-06-26T15:00:00-04:00,30
rawdancesf,"
RAWdance
",https://www.kickstarter.com/projects/rawdancesf/rawdance-presents-mine,2016-04-14 21:46:44,Dance,dance,RAWdance presents: Mine,San Francisco,CA,6400,8118,usd,1,116,2013-09-04T19:14:03-04:00,2013-10-04T19:14:03-04:00,30
rawdancesf,"
RAWdance
",https://www.kickstarter.com/projects/rawdancesf/two-by-24-love-on-loop,2016-04-14 21:46:47,Dance,dance,Two by 24: Love on Loop,San Francisco,CA,5700,5802,usd,1,85,2012-06-01T02:05:17-04:00,2012-07-01T02:59:00-04:00,30
483988747,"
Anna Reyes
",https://www.kickstarter.com/projects/483988747/the-good-parts-of-being-alive-boston-center-for-th,2016-04-14 21:47:08,Dance,residencies,The Good Parts of Being Alive - Boston Center for the Arts,Boston,MA,2500,2636,usd,1,31,2015-05-27T22:02:43-04:00,2015-06-26T23:59:00-04:00,30
483988747,"
Anna Reyes
",https://www.kickstarter.com/projects/483988747/the-good-parts-of-being-alive,2016-04-14 21:47:11,Dance,dance,The Good Parts of Being Alive,Boston,MA,2000,3479,usd,1,57,2013-12-04T07:26:01-05:00,2014-01-01T23:50:00-05:00,28
1391862031,"
Dans i Blekinge
",https://www.kickstarter.com/projects/1391862031/summer-dance-blekinge-2015,2016-04-14 21:47:55,Dance,performances,Summer Dance Blekinge 2015,Karlskrona,Sweden,10000.0,1080,SEK,0,5,2015-06-10T03:43:19-04:00,2015-06-30T03:43:19-04:00,20
sidrabelldance,"
Sidra Bell Dance New York
",https://www.kickstarter.com/projects/sidrabelldance/sbdny-2015-new-york-city-season-world-premiere,2016-04-14 21:48:09,Dance,performances,SBDNY 2015 New York City Season World Premiere,New York,NY,6000,7512,usd,1,52,2015-05-10T23:20:27-04:00,2015-06-30T23:59:00-04:00,51
sidrabelldance,"
Sidra Bell Dance New York
",https://www.kickstarter.com/projects/sidrabelldance/sbdny-new-york-city-season-2014,2016-04-14 21:48:12,Dance,dance,SBDNY New York City Season 2014,Manhattan,NY,9000,9062,usd,1,60,2014-04-08T11:00:40-04:00,2014-05-31T00:00:00-04:00,52
sidrabelldance,"
Sidra Bell Dance New York
",https://www.kickstarter.com/projects/sidrabelldance/sbdny-2013-nyc-season,2016-04-14 21:48:14,Dance,dance,SBDNY 2013 NYC Season,Lower East Side,Manhattan,10000,10100,usd,1,119,2013-04-05T11:55:48-04:00,2013-06-02T12:00:00-04:00,58
sidrabelldance,"
Sidra Bell Dance New York
",https://www.kickstarter.com/projects/sidrabelldance/duel-public-vs-private,2016-04-14 21:48:16,Dance,performance art,DUEL: (public vs private),Lower East Side,Manhattan,10000,10020,usd,1,103,2012-01-02T14:08:54-05:00,2012-03-02T14:08:54-05:00,60
